Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
6,2025-10-13,BUF @ ATL,0,Dome,3.4,4.0,14.0,196.13,High,-7.0,13.0,48.3,48.0,12.946861404225357,32.0,65.0,0.39,0.609,0.093,0.078
6,2025-10-13,CHI @ WAS,10,Historical Avg,0.32,-0.5,13.41,179.79,Medium,-9.0,10.0,45.22,45.0,12.356618875324674,29.0,61.0,0.5,0.499,0.101,0.087
7,2025-10-16,PIT @ CIN,10,Historical Avg,3.01,3.0,13.84,191.53,Med-High,-7.0,12.25,47.71,47.0,13.627295483043662,30.0,65.0,0.427,0.572,0.094,0.067
7,2025-10-19,LA @ JAX,10,Historical Avg,3.39,4.0,13.21,174.48,Medium,-7.0,13.0,48.71,49.0,12.852266132660993,33.0,65.0,0.391,0.607,0.111,0.108
7,2025-10-19,NO @ CHI,15,Historical Avg,-3.12,-3.0,13.0,168.96,Med-Low,-13.0,7.0,41.52,41.0,12.090896980364597,26.0,57.0,0.578,0.422,0.098,0.092
7,2025-10-19,MIA @ CLE,10,Historical Avg,8.78,10.0,13.43,180.48,Med-High,1.0,18.0,38.9,39.0,11.381315096830127,25.0,54.0,0.247,0.753,0.07,0.07
7,2025-10-19,LV @ KC,10,Historical Avg,-6.35,-7.0,12.61,158.9,Low,-15.0,3.0,35.87,36.0,11.124752541927354,22.0,50.0,0.686,0.312,0.099,0.078
7,2025-10-19,PHI @ MIN,0,Dome,0.98,2.5,12.99,168.76,Med-Low,-9.0,10.0,39.73,39.0,12.176419391150635,24.0,56.0,0.462,0.538,0.103,0.084
7,2025-10-19,CAR @ NYJ,12,Historical Avg,4.28,6.0,13.09,171.37,Medium,-6.0,14.0,36.76,36.0,11.521526659977686,23.0,53.0,0.381,0.614,0.098,0.084
7,2025-10-19,NE @ TEN,8,Historical Avg,10.88,12.0,12.7,161.17,Med-Low,3.0,20.0,42.92,42.0,11.766833659671338,28.0,58.0,0.204,0.795,0.047,0.08
7,2025-10-19,NYG @ DEN,10,Historical Avg,-7.25,-7.0,13.37,178.62,Medium,-17.0,3.0,40.98,40.0,12.312324611434567,25.0,57.0,0.713,0.287,0.094,0.109
7,2025-10-19,IND @ LAC,0,Dome,3.72,5.0,13.39,179.34,Medium,-7.0,13.0,47.86,47.0,12.892713370662442,32.0,65.0,0.404,0.595,0.079,0.096
7,2025-10-19,GB @ ARI,0,Dome,7.24,7.0,13.17,173.54,Medium,-3.0,17.0,44.71,44.0,12.781536945402408,29.0,61.0,0.279,0.719,0.099,0.087
7,2025-10-19,WAS @ DAL,0,Dome,-3.25,-4.0,13.41,179.87,Medium,-13.0,7.0,53.46,53.0,13.962139568896356,36.0,71.0,0.607,0.391,0.094,0.083
7,2025-10-19,ATL @ SF,10,Historical Avg,-3.67,-4.0,13.27,176.03,Medium,-13.0,6.0,48.2,47.0,12.45809693248448,33.0,64.0,0.598,0.401,0.094,0.08
7,2025-10-20,TB @ DET,0,Dome,-5.27,-6.0,13.47,181.5,Med-High,-14.0,4.0,52.77,52.0,13.284013852146648,37.0,70.0,0.652,0.346,0.073,0.087
7,2025-10-20,HOU @ SEA,10,Historical Avg,-8.12,-8.0,13.16,173.13,Medium,-17.0,2.0,44.16,43.0,12.706792143045645,29.0,61.0,0.725,0.274,0.084,0.071
8,2025-10-23,MIN @ LAC,0,Dome,0.08,1.0,12.97,168.18,Med-Low,-10.0,10.0,40.38,40.0,12.2779093520867,25.0,57.0,0.495,0.504,0.103,0.101
8,2025-10-26,MIA @ ATL,0,Dome,-1.09,-3.0,13.5,182.15,Med-High,-10.0,9.0,44.78,44.0,12.577966618028697,29.0,61.0,0.542,0.458,0.101,0.101
8,2025-10-26,CHI @ BAL,10,Historical Avg,-6.07,-7.0,13.6,185.03,Med-High,-16.0,4.0,48.58,47.0,12.969448006047967,33.0,66.0,0.666,0.334,0.081,0.096
8,2025-10-26,BUF @ CAR,6,Historical Avg,6.94,8.0,13.49,182.09,Med-High,-3.0,17.0,44.39,44.0,12.227421880586515,29.0,61.0,0.301,0.698,0.08,0.072
8,2025-10-26,NYJ @ CIN,10,Historical Avg,-5.99,-7.0,13.37,178.8,Medium,-16.0,4.0,42.49,42.0,11.534427034188,28.0,57.0,0.671,0.328,0.092,0.073
8,2025-10-26,SF @ HOU,0,Dome,5.84,7.0,13.39,179.38,Medium,-3.0,15.0,47.2,47.0,12.13428303711533,32.0,62.0,0.314,0.686,0.068,0.069
8,2025-10-26,CLE @ NE,12,Historical Avg,-13.05,-14.0,13.09,171.32,Medium,-22.0,-6.0,40.32,40.0,11.897175369884305,26.0,56.0,0.831,0.167,0.047,0.049
8,2025-10-26,NYG @ PHI,12,Historical Avg,-6.39,-7.0,13.42,180.08,Med-High,-16.0,3.0,41.42,41.0,12.405993861181928,26.0,58.0,0.69,0.306,0.078,0.077
8,2025-10-26,TB @ NO,10,Historical Avg,2.64,3.0,12.93,167.23,Med-Low,-7.0,11.0,43.46,43.0,12.608076562053174,27.0,60.0,0.419,0.579,0.11,0.115
8,2025-10-26,DAL @ DEN,10,Historical Avg,-1.12,-2.0,13.17,173.42,Medium,-10.0,8.0,50.25,50.0,12.828662189549368,33.0,67.0,0.528,0.471,0.096,0.088
8,2025-10-26,TEN @ IND,0,Dome,-9.82,-10.0,13.55,183.61,Med-High,-19.0,-2.0,47.76,47.0,11.874441391423781,33.0,64.0,0.77,0.23,0.072,0.078
8,2025-10-26,GB @ PIT,12,Historical Avg,4.62,5.0,12.0,144.0,Low,-4.0,14.0,45.59,45.0,12.447106750826332,30.0,62.0,0.361,0.638,0.089,0.109
8,2025-10-27,WAS @ KC,10,Historical Avg,-2.27,-3.0,13.23,175.11,Medium,-11.0,7.0,41.95,42.0,12.25166058896455,26.0,57.0,0.568,0.432,0.091,0.102
9,2025-10-30,BAL @ MIA,10,Historical Avg,5.19,6.0,14.3,204.57,High,-6.0,16.0,47.11,47.0,12.631270918043244,30.0,64.0,0.369,0.629,0.076,0.074
9,2025-11-02,CHI @ CIN,10,Historical Avg,-0.46,-2.0,13.43,180.34,Med-High,-10.0,10.0,47.71,47.0,12.785872458871726,32.0,65.0,0.52,0.477,0.093,0.096
9,2025-11-02,MIN @ DET,0,Dome,-5.26,-6.0,13.31,177.19,Medium,-14.0,4.0,47.56,47.0,12.792949760065643,32.0,64.0,0.657,0.341,0.09,0.096
9,2025-11-02,CAR @ GB,15,Historical Avg,-10.89,-11.0,12.66,160.34,Med-Low,-19.0,-3.0,43.67,43.0,12.392983096495776,28.0,60.0,0.799,0.2,0.076,0.057
9,2025-11-02,DEN @ HOU,0,Dome,2.97,4.0,13.23,175.02,Medium,-7.0,12.0,41.85,41.0,12.362832953600831,26.0,59.0,0.392,0.607,0.098,0.1
9,2025-11-02,ATL @ NE,12,Historical Avg,-4.67,-5.0,13.34,177.94,Medium,-14.0,5.0,45.22,44.0,12.431014847152671,30.0,62.0,0.631,0.367,0.093,0.088
9,2025-11-02,SF @ NYG,12,Historical Avg,10.54,12.0,13.2,174.28,Medium,3.0,20.0,45.65,44.0,11.927630291234061,31.0,61.0,0.216,0.783,0.077,0.058
9,2025-11-02,IND @ PIT,12,Historical Avg,0.71,1.5,13.13,172.45,Medium,-8.0,10.0,48.27,47.0,12.343010528591027,33.0,64.10000000000002,0.478,0.522,0.086,0.102
9,2025-11-02,LAC @ TEN,8,Historical Avg,4.91,6.0,12.98,168.61,Med-Low,-4.0,13.0,40.61,40.0,11.75720676482773,26.0,56.0,0.346,0.651,0.091,0.084
9,2025-11-02,NO @ LA,0,Dome,-10.49,-11.0,12.72,161.83,Med-Low,-19.0,-3.0,47.29,47.0,12.979459401930665,32.0,64.0,0.792,0.206,0.069,0.085
9,2025-11-02,JAX @ LV,0,Dome,9.97,10.0,12.38,153.24,Low,3.0,18.0,39.92,39.5,11.884071152056736,25.0,56.0,0.208,0.791,0.082,0.067
9,2025-11-02,KC @ BUF,10,Historical Avg,-5.58,-7.0,13.94,194.32,Med-High,-16.0,5.0,44.66,44.0,12.047984434291445,30.0,60.0,0.654,0.344,0.08,0.089
9,2025-11-02,SEA @ WAS,10,Historical Avg,10.16,10.0,12.85,165.07,Med-Low,3.0,19.0,47.98,47.0,12.768193716057521,32.0,65.0,0.199,0.801,0.072,0.079
9,2025-11-03,ARI @ DAL,0,Dome,-1.3,-3.0,13.81,190.58,Med-High,-11.0,8.0,51.21,50.0,13.130021075895248,35.0,68.10000000000002,0.552,0.446,0.088,0.085
10,2025-11-06,LV @ DEN,10,Historical Avg,-8.29,-9.0,12.51,156.54,Low,-17.0,1.0,37.03,36.0,11.573808925891814,23.0,51.0,0.738,0.262,0.083,0.086
